Data point ID,ID,Year,Title,URL,Libraries,Architectural Style,Custom architecture style,RQ2 - Guidelines,RQ3 - Quality Requirements
DP31,GL105,2015,Architecting Android...The evolution,https://fernandocejas.com/2015/07/18/architecting-android-the-evolution/,"RxJava, Mockito, Robolectric, Dagger, Retrolambda","CLEAN, MVP, MVVM",,"191. benefits we get out of this RxJava:
Decoupling between Observables and Subscribers: makes maintainability and testing easier.
---
192. Simplified asynchronous tasks: java threads and futures are complex to manipulate and synchronize if more than one single level of asynchronous execution is required, so by using schedulers we can jump between background and main thread in an easy way (with no extra effort), especially when we need to update the UI. We also avoid what we call a “callback hell”, which makes our code unreadable and hard to follow up.
---
193. Data transformation/composition: we can combine multiple Observables<T> without affecting the client, which makes our solution more scalable.
---
194. Use Dagger as (i) components become reusable (since dependencies can be injected and configured externally), (ii) when injecting abstractions as collaborators, we can just change the implementation of any object without having to make a lot of changes in our codebase, (iii) Dependencies can be injected into a component: it is possible to inject mock implementations of these dependencies which makes testing easier.
---
195. I consider code/package organization one of the key factors of a good architecture: package structure is the very first thing encountered by a programmer when browsing source code. Everything flows from it. Everything depends on it.
Either package by layer of functionality.
---
196. Organize your build logic (Gradle) and group stuff by functionality in separate gradle build files.
---
197. Create maps of dependencies. 
---
198. This is very useful if you want to reuse the same artifact version across different modules in your project, or maybe the other way around, where you have to apply different dependency versions to different modules. 
Another plus one, is that you also control the dependencies in one place and, for instance, bumping an artifact version is pretty straightforward.
---
199. Minimize framework (android) dependencies in your project as much as you can.
","Maintainability, Testability, Performance"
DP32,GL106,2017,"REACTIVE APPS WITH MODEL-VIEW-INTENT - PART1 - MODEL
",http://hannesdorfmann.com/android/mosby3-mvi-1,"Mosby, Moxy",CUSTOM,MVI (Model-View-Intent),"200. ""A Presenter (or ViewModel) has arbitrarily many inputs (the View triggers an action handled by Presenter) which is ok, but a Presenter also has many outputs (or output channels like view.showLoading() or view.showError() in MVP or ViewModel is offering multiple Observables) which eventually leads to conflicting states of View, Presenter and business logic especially when working with multiple threads.
---
201. What if we only have one single source of truth for state passed from bottom (business logic) to the top (the View). [It would be a very good thing]
---
202. In Android screen orientation change is a challenging problem. The simplest way to deal with that is to ignore it. Just reload everything on each screen orientation change. This is a completely valid solution. Most of the time your app works offline too so that data comes from a local database or another local cache. Therefore, loading data is super-fast after screen orientation changes. However, I personally dislike seeing a loading indicator [...]
---
203. We only need a Model class that is representing the whole state. Then it’s easy to save this Model into a bundle and to restore it afterwards. However, I personally think that most of the time it is better to not save the state but rather reload the whole screen just like we are doing on first app start.
---
204. By doing so we have established a unidirectional data flow with the business logic as single source of truth which creates immutable Model instances. But this seems so over engineered for just a simple counter, doesn’t it? Yes, a counter is just a simple app. Most apps start as a simple app but then the complexity grows fast. A unidirectional data flow and an immutable model is necessary from my point of view even for simple apps to ensure they stay simple (from developers point of view) when complexity grows.
---","Maintainability, Testability, Performance"
DP33,GL108,2016,"A detailed guide on developing Android apps using the Clean Architecture pattern
",https://medium.com/@dmilicic/a-detailed-guide-on-developing-android-apps-using-the-clean-architecture-pattern-d38d71e94029,"Dagger, RxJava",MVP,,"205. The business logic layer does not contain any framework specific code and you should be able to run it without an emulator.  This layer does not contain any framework specific code and you should be able to run it without an emulator.
---
206. Each layer, above the core layer, is also responsible for converting models to lower layer models before the lower layer can use them. An inner layer can not have a reference to model class that belongs to the outer layer. However, the outer layer can use and reference models from the inner layer. 
---
207. Your business logic models might not be appropriate for showing them to the user directly. Perhaps you need to show a combination of multiple business logic models at once. Therefore, I suggest you create a ViewModel class that makes it easier for you to display it to the UI. Then, you use a converter class in the outer layer to convert your business models to the appropriate ViewModel.
---
208. Everything that is not strictly view related should go into the Presenter class. 
---
209. Writing the storage layer: This is where our repository gets implemented. All the database specific code should come here.
---
210. Decoupled code makes it easy to focus your attention on specific issues without a lot of bloatware getting in the way
---
","Maintainability, Testability"
DP34,GL110,2017,Presenters are not for persisting,https://hackernoon.com/presenters-are-not-for-persisting-f537a2cc7962,NA,MVP,,211. In conclusion I feel that the simplest way to work with data is to have an Activity/Fragment/View which owns a Presenter. That Presenter can request data from an app scoped Store which can either fetch new data or return cached data. ,NA
DP35,GL111,2015,Tasting Dagger 2,https://fernandocejas.com/2015/04/11/tasting-dagger-2-on-android/,Dagger,,,"212. [Through dagger] we can manage the scope of our instances created, which is something really cool and from my point of view, Any object or collaborator in your app should not know anything about instances creation and lifecycle and this should be managed by our dependency injection framework.
---
213. The @PerActivity is a custom scoping annotation to permit objects whose lifetime should conform to the life of the activity to be memorized in the correct component.
I really encourage to do this as a good practice, since we get these advantages:
The ability to inject objects where and activity is required to be constructed.
The use of singletons on a per-activity basis.
The global object graph is kept clear of things that can be used only in activities.
","Maintainability, Testability"
DP36,GL112,2017,Create a Clean-Code App with Kotlin Coroutines and Android Architecture Components — Part 3,https://blog.elpassion.com/create-a-clean-code-app-with-kotlin-coroutines-and-android-architecture-components-part-3-f3f3850acbe6,"Jetpack, RxJava",MVVM,,"214. The LiveData class has a few guarantees that simplify the way we observe it:

All state changes are dispatched on the main thread. This means we can immediately access android views and update displayed data.
Changes are dispatched only when the observer is active: its Lifecycle is in a STARTED or RESUMED state. This means we won’t get any unnecessary updates when our activity is not visible.
New observer receives current value as soon as it becomes active. This means we will always have something to display as soon as our activity becomes visible.
When the observer is DESTROYED the LiveData removes it from the observer list. This means we don’t have to remember to “unsubscribe” because it will be done automatically.
The order of all these life cycle related events is carefully designed so we never get infamous fragment transaction exceptions.",Maintainability
DP37,GL115,2017,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART4 - INDEPENDENT UI COMPONENTS,http://hannesdorfmann.com/android/mosby3-mvi-4,RxJava,CUSTOM,MVI (Model-View-Intent),"215. How does a “Child-Presenter” communicate with its “Parent-Presenter”?
From my point of view such Parent-Child relations are a code smell, because they introduce a direct coupling between both Parent and Child, which leads to code that is hard to read, hard to maintain, where changing requirement affects a lot of components (hence it’s a virtually impossible task in large systems) and last but not least introduces shared state that is hard to predict and even harder to reproduce and debug.
---
216. So far so good, but somehow the information must flow from Presenter A to Presenter B: How does a Presenter communicate with another Presenter? They don’t! What would a Presenter have to tell another Presenter? Event X has happened? Presenters don’t have to talk to each other, they just observe the same Model (or the same part of the business logic to be precise).
In contrast to MVP or MVVM in MVI we are forced (in a positive way) that business logic drives the state of a certain component. ","Maintainability, Testability, Performance"
DP38,GL117,2017,REACTIVE APPS WITH MODEL-VIEW-INTENT - PART6 - RESTORING STATE,http://hannesdorfmann.com/android/mosby3-mvi-6,RxJava,CUSTOM,MVI (Model-View-Intent),"217. With a unidirectional data flow and a Model that represents State a lot of state related things are much simpler to implement compared to other patterns. However, usually I don’t persist state into a bundle in my apps for two reasons: First, Bundle has a size limit, so you can’t put arbitrary large state into a bundle (alternatively you could save state into a file or an object store like Realm). Second, we only have discussed how to serialize and deserialize state but that is not necessarily the same as restoring state.","Maintainability, Testability, Performance"
DP39,GL121,2017,Reactive Clean Architecture with Android Architecture Components,https://medium.com/insiden26/reactive-clean-architecture-with-android-architecture-components-685a6682e0ca,"Jetpack, RxJava","CLEAN, MVVM",,"218. We realised there are several ways to use RxJava. The most straightforward one is for asynchronous calls, where you subscribe to an Observable that will eventually emit onNext or onError and complete afterwards, a typical example of this are the observables from retrofit calls. It’s like a callback on steroids, you can control the threads where things are executed very easily and there’s a bunch of very powerful operators that allow you to combine/transform the result. 
---
219. The plan is to put in the store the objects that are going to be consumed by the layers on top. This layer will build use cases out of these objects so let’s make sure the data we store is in good conditions. [Reactive Clean Architecture]
---
220. Most of apps get the data from an API, which has a contract that describes what data and what format this API should serve the data. In 99% of the cases this contract is satisfied but… what happens when it is not?
This can be achieved by defining two POJOs, one that represents the object that comes from the external source, we refer to this as the “raw” entity, and another one that is the mapped object, the one that has been checked and is safe to store, we call this one the “safe” entity. By mapping the raw entity to the safe entity before storing it we are creating a first line of defence.
---
221. This layer sits on top of the data and is responsible for coordinating the actions to the repository. It can also perform some mappings to prepare the objects coming from the data layer, that way the presentation layer can consume them easily.
The domain [layer] is 100% Java only, meaning that there are no Android framework related objects here. [Reactive Clean Architecture]
---
222. This is the last layer, responsible for building the objects the views are going to consume and processing the actions performed in this views. This is also the layer where the Android Architecture Components are used, more specifically, the LiveData and the ViewModel.
---
223. The view entity should be designed to represent as close as possible the state of one specific view. Some time ago I wrote a blog post about how to design this view entities safely, things that need to be taken into account when dealing with RxJava + MVVM.
---
224. In MVVM pattern, the ViewModel is the component that interacts with the views, this leads to often have big view models, especially when the screen is complex. We tried to simplify our view models delegating some responsibilities to other components:
Mappers and transformers: They transform the objects coming from the domain layer to view entities.
Providers: Sometimes we need something from the framework to build our view entity, for instance, we might need a specific string. We create the StringProvider to abstract the access to this resource.
Utilities: There is not much to say here, these are the classical utility classes that contain helper functions.
---
225. [On MVVM] The View Model should not do any of the things the components above can do. The View Model should coordinate the process of creating view entities and put all the pieces together. After doing this we noticed several benefits: the most obvious one was that the view models have a much smaller size, everything was easier to test since each class has a more specific and narrow responsibility, it is more clear what are the inputs/outputs and what is expected from each class. Of course this also makes the whole presentation layer more understandable and readable.
---
226. [On MVVM]  The importance of a well designed view entity
One common mistake is to pass the view an object that hasn’t been designed for it, usually because we don’t want to create another object that is specific for the view, so we rather just pass the one that comes from our data or domain layer. This should be avoided because it means that the view needs to do some final transformations to be able to consume it, leaving code that contains untested logic.
In our experience, the most critical step working in the presentation layer is the design of the view entities. Creating these POJOs is in a way the main goal of the presentation layer and defines how readable, understandable and testable the whole layer is.
Nice quote on MVVM: ""Take your time designing the view entities. You don’t want to deal with a poorly designed one and it is painful to change them when the implementation of the presentation layer is advanced.""
---
",Maintainability
DP40,GL126,2016,MVVM + RxJava: Learnings,https://medium.com/upday-devs/mvvm-rxjava-learnings-1819423f9592,RxJava,MVVM,,"227. Expose states and not events: expose one stream per view that emits states instead of events. Both the position and the data set should be wrapped up together so the ViewPager never receives one without the other. This is true for any view with intra-dependent state. You would never expose two separate streams for a TextView, one that sets the text and another one that emits the position of the letter that should be highlighted in bold, but for some reason it’s much easier to make this mistake with a ViewPager or lists. [MVVM+RxJava]
---
228. [MVVM+RxJava] Everything goes through the view model: the view model transforms the data into something that is easy to use in the Views or any other consumer, this means the view should know about the changes always after the view model. So basically, it doesn’t matter how trivial or easy an operation is, everything should go through the view model, this way other stuff that is based on the view model’s state can happen reliably. The view should know about the changes always after the view model.","Maintainability, Testability, Usability"
DP41,GL122,2015,What is all this Clean Architecture jibber-jabber ,http://pguardiola.com/blog/clean-architecture-part-1/,,"HEXAGONAL,  MVP",,"229. [...] Onion Architecture, Hexagonal Architecture (also known as Ports and Adapters) and the popular Clean Architecture, among other layered architectures. Though these approximations have their own fancy names and could seem completely different, they share a lot in common. In fact, its main intent is the same:
Achieve a high-level separation of concerns by layering.
---
230. [General on styles] There are a lot of scenarios where we aren’t gonna need that level of adaptability. Especially in mobile applications in which the domain logic is really close to the view. Prematurely creating that kind of indirection and isolation is usually a waste of time and it may be a bit overkill.
---
231. [General on onion like ark] Source code dependencies can only flow from outside, in. Nothing in an inner layer can know anything at all about something in an outer layer.
---
232. It’s all about decoupling your business logic from the outside world (meaning frameworks, implementation details, etc.) and ending up with the maintainable, testable and with low technical debt application
---
233. [Hexagonal ark] The main objective of this architecture is to separate concerns and have the business logic isolated, through the implementation of Ports and Adapters
---
234. [Hexagonal module] This is the most important part of our application, where the core logic and the business rules live. It’s what makes our app different from others.
Because it’s completely Android-free, we defined it as a Java only module but you could use another language like Scala or Kotlin if you want.

","Maintainability, Interoperability, Testability"
DP42,GL123,2016,Android Architecture: Part 1 – Every New Beginning is Hard,https://five.agency/android-architecture-part-1-every-new-beginning-is-hard/,RxJava,"MVP, CUSTOM, CLEAN",MVP+Managers,"235.As Robert Martin, aka Uncle Bob, says, “Your architecture should scream the purpose of the app.” More technically said, business logic should be clearly separated and independent of the framework.
---
236. Satisfy a multitude of stakeholders:  all interactions are separated in the classes/modules/components/whatever whose job is interactions, and that particular developer works only on those components while working on the UX part of the app.
---
237. Encourage separation of concerns.
What I have said before is an example of separation of concerns. We encourage that particular approach because it maps nicely to the organization of teams and project phases, but your architecture should also encourage separation of concerns generally. Separation of concerns, or the single responsibility principle, says that every component should have only one reason to change.
---
238. Run away from the real world (Android, DB, Internet…).
We have already said that we want to scream what the app really does; that’s it. We want to emphasize business logic and leave framework details under the hood. This point should be even stronger: we would like to not only hide framework details but all the details related to the outside world.
---
239. Enable your components to be testable.
You should unit test your app as much as possible and your architecture should allow you to do it. If you can’t unit test everything, you should at least cover your business logic with tests. Separation from the real world goes nicely with this. It’s easier to test your business logic if it is clearly separated from the rest of the app.
---
240. God Activity: We have an activity that touches databases, goes to the Internet, does parsing, spawns threads, and renders data. So, all the stakeholders are looking at the single class, none of the concerns is separated, it’s not testable, and business logic is mixed with the Android stuff.
---
241. [MVP]  The elephant in the room here is the presenter. It’s a god object. It deals with the models, it sends the data to the view, it holds the business logic (business logic are those gears :) ), and it goes to the database and Internet, fetches sensor data, etc. So yeah, better, but it could get way more better.
---
242. [MVP, To solve god presenter]  introduce some manager. You don’t have to name it “manager.” There are lots of names for these kind of classes: utils, helpers, fooBarBuzz-ator, etc. So, we introduced managers.
Business logic is contained in the manager classes. Stakeholders know where to look at, concerns are sort of separated 
---
243. [on MVP+managers]  managers tend to be huge beasts and very quickly become hard to maintain
---
244. [On clean code ark]  domain module. If you want an extra challenge with a reward of eternal glory and a totally clean design, you can make that module a pure Java module. It will prevent you from taking shortcuts and putting something related to the Android here.
---
245. [On clean code ark] The device module should have everything related to Android that’s not data persistence and UI. The data module should hold everything related to data persistence, as we’ve already said. You cannot make those two into Java modules because they need access to various Android stuff. You can make them into Android library. [...] Data and Device modules contain all of the implementation details that business logic does not care about. It only cares about the contracts, allowing you to easily test it and swap out implementations without touching the business logic. [...] Each data source, both network, and local storage, will have its own models to work with.

---
246. [On clean code ark] we group everything related to the UI (including presenters) into the UI module. You can explicitly name it UI but because of all the Android stuff here, we leave it named “app,” just as Android Studio named it during the creation of the project.
---
247. [On clean ark] We have pushed Android and the real-world stuff as far out on the outskirts as we can. Business logic doesn’t touch the Android directly anymore.
---
248. [On clean ark] We have nicely separated classes that are easy to test. Classes touching the world can be tested using Android test cases; the one not touching it can be tested using JUnit. Someone malevolent would maybe call that class explosion. I call it testable. :)
---
249. [On clean ark] The data module should hold everything related to data persistence and manipulation. Here we will find DAOs, ORMs, SharedPreferences, network related stuff like Retrofit services and similar.
---
250. [On clean ark] The device module should have everything related to Android that’s not data persistence and UI. In example, wrapper classes for ConnectivityManager, NotificationManager and misc sensors.
We will make both Data and Device modules android modules, as they must know about Android and cannot be pure java.
---
251. [On clean ark] The easiest part, app module (UI module)
This module is already created for you by the Android studio when you create a project.
Here you can place all the classes related to the Android UI such as presenters, controllers, view models, adapters and views.
---
252. [On clean ark] Although it’s a bit hidden, the same data flow inversion principle still holds, because without RxJava presenters were implementing the callback, and with RxJava subscribers are also contained in the outer layer – somewhere in the presenter.
------
253. [On clean ark] It is a good practice for every layer to have its own model that it works with, so your concrete details, such as views, do not depend on the specific details of your lower layer implementations. This way, you won’t have to break unrelated code if you, for example, decide to change from one ORM to another.
To make that possible, it is necessary to use object mappers in each layer.",Testability
DP43,GL124,2017,Converting an App to Use Clean Architecture,https://academy.realm.io/posts/converting-an-app-to-use-clean-architecture/,RxJava,"MVP, CLEAN",,"254. Activities were often bloated with multiple responsibilities. There was a lot of code duplication - custom views and custom logic.
---
255. [MVP + Managers] But we had this data manager class, which was already becoming bloated with multiple responsibilities. It was accessing the API, accessing the cache. It felt a bit like oh we got this data operation, let’s stick it in that data manager class. It’s messy. There was a data manager class with multiple responsibilities - it was accessing the API and accessing the cache alongside preference helper classes. Despite splitting these out into a composer and user data manager, it was still bloated and unorganized.
In the instance of the data manager, if we wanted to take the app offline in the future, how would we be able to accomplish that based on its current state?
---
256. For example, you should be able to look at a package structure and understand how it’s organized. I often think about this from the perspective of writing open source code: would my code be apparent to I don’t know, and who isn’t on my team?
---
257. Layer Models: Enterprise Business Rules: The first layer is the enterprise business rules, the core business rules of our application. For example, Twitter’s rules might be a profile or a tweet. Unless the needs of your business change, you should never need to touch these once they have been created. These can also be created before you write your UI.
---
[Nice quote on moving towards clean ark] Trying to implement clean architecture adds substantial overhead in the beginning. New interfaces and implementations needed to be added, along with separate modules. During our transition, it was often we forget to reuse models throughout our project. These habits can take time to form.
---


","Maintainability, Testability, Usability, Performance"
DP44,GL120,2016,Android Architecture Patterns Part 3: Model-View-ViewModel,https://medium.com/upday-devs/android-architecture-patterns-part-3-model-view-viewmodel-e7eeee76b73b,"RxJava, Mockito, JUnit",MVVM,,"258. [MVVM] The consumer of the data should know about the producer, but the producer — the ViewModel — doesn’t know, and doesn’t care, who consumes the data.
---
259. [MVVM] Our strong emphasis on the single responsibility principle leads to creating a DataModel for every feature in the app. For example, we have an ArticleDataModel that composes its output from the API service and database layer. This DataModel handles the business logic ensuring that the latest news from the database is retrieved, by applying an age filter.
---
260. [MVVM] The ViewModel should expose states for the View, rather than just events.
---
261. [MVVM] We should make sure that every action of the user goes through the ViewModel and that any possible logic of the View is moved in the ViewModel.
---
262. [MVVM] DataModel: The use of inversion of control pattern, heavily applied in our code, and the lack of any Android classes, facilitate the implementation of unit tests of the DataModel.
---
263. [MVVM] we are creating model objects to hold the state of the data. This also allows a higher degree of testability and control of the data that is emitted by the ViewModel.
---
264. [MVP] The Model-View-Presenter pattern brings with it a very good separation of concerns. While this is for sure a pro, when developing a small app or a prototype, this can seem like an overhead. To decrease the number of interfaces used, some developers remove the Contract interface class, and the interface for the Presenter.
---
265. [MVP] One of the pitfalls of MVP appears when moving the UI logic to the Presenter: this becomes now an all-knowing class, with thousands of lines of code. To solve this, split the code even more and remember to create classes that have only one responsibility and are unit testable.
---
266. [MVC-MVP] The Model-View-Controller pattern has two main disadvantages: firstly, the View has a reference to both the Controller and the Model; and secondly, it does not limit the handling of UI logic to a single class, this responsibility being shared between the Controller and the View or the Model. The Model-View-Presenter pattern solves both of these issues by breaking the connection that the View has with the Model and creating only one class that handles everything related to the presentation of the View — the Presenter: a single class that is easy to unit test.
---
267. [MVP] Presenter: In the implementation of the constructor, the Presenter will call the setPresenter method of the View. This can be simplified when using a dependency injection framework that allows the injection of the Presenters in the corresponding views, reducing the coupling of the classes. 
---
268. [MVP]  To make the Presenter unit testable with JUnit, the View is abstracted and an interface for it used. The relationship between the Presenter and its corresponding View is defined in a Contract interface class, making the code more readable and the connection between the two easier to understand.","Maintainability, Testability"
,,,,,,,,,
,,,,,,,,,
Interviews,White Literature,,Grey Literature,,,,,,
5,7,,32,,,,,,