ID,RawPractice,Type,Theme,Component,Activity,Fragment,BroadcastReceiver,Service,ContentProvider,Manifest,LayoutXML,JetPack
1,Do not do too much in activities and fragments,B,GEN,,x,x,,,,,,
2,"Stick to a precise architecture, e.g. MVP and MVVM",G,GEN,,,,,,,,,
3,"Do not use concrete classes but interfaces, which are more easy to change",M,GEN,,,,,,,,,
4,Put the business logic in the presenters and not in the views/activities,G,GEN,,,,,,,,,
5,"When starting a new project, use directly MVP",G,GEN,,,,,,,,,
6,When developing a base activities make sure that it can be easy be used by inherited classes,G,GEN,,x,,,,,,,
7,Divide core logic from UI,G,GEN,,,,,,,,,
8,"Too many callbacks, such as 2 depth levels of callbacks are hard to read",G,GEN,,,,,,,,,
9,"We did not separate common functionality in base fragments and activities, but had one different for each, reducing maintainability.",B,GEN,,x,x,,,,,,
10,Adhere to the KISS principle. ,G,GEN,,,,,,,,,
11,"when talking about module, we have a feature A and feature B, it is good to separate into two submodules.",G,GEN,,,,,,,,,
12,"DataStorage, if put into a dedicated submodule it is easier to maintain.",G,GEN,,,,,,,,,
13,Variable and function names should be meaningful.,G,GEN,,,,,,,,,
14,Separate model from the view,G,MVP,"M,V",,,,,,,,
15,"Separate the code into the components of MVP, MVC",G,GEN,,,,,,,,,
16,Core logic should be testable,G,GEN,,,,,,,,,
17,Use continuous integration and deployment,G,GEN,,,,,,,,,
18,[GOOD] Separation of responsibility: one component should do only one thing good,G,GEN,,,,,,,,,
19,[GOOD] Abstraction of data layer (it should be well encapsulated).,G,MVP,MVP,,,,,,,,
20,"[GOOD] Network connectivity should be handled with care, local caching through error handling.",G,GEN,,,,,,,,,
21,"[GOOD] Power management, graceful failing, retry when server fails, incremental pinging when server is unresponsive, bundled updates of various app to avoid constant throttling in background.",G,GEN,,,,,,,,,
22,"[BAD] Not using the compatibility library (makes new features backwards compatible), called “compat library”.",B,GEN,,,,,,,,,
23,[BAD] God object,B,GEN,,,,,,,,,
24,[BAD] No clear separation of responsibility,B,GEN,,,,,,,,,
25,[BAD] Not using a dedicated business logic layer,B,GEN,,,,,,,,,
26,[BAD] Not using a dedicated data holding layer,B,GEN,,,,,,,,,
27,[BAD] Mixing code and UI,B,GEN,,,,,,,,,
28,[BAD] Singleton,B,GEN,,,,,,,,,
29,"[BAD] Directory/file structure should be tidy: if there is a mix in the folders, there is a mix also in the code, similar stuff should go in the same folder/subfolders.",B,GEN,,,,,,,,,
30,"[BAD] Event driven programming, if no interfaces are used bad, or do not provide basic functions in base classes (also to avoid code duplicates).",B,GEN,,,,,,,,,
31,[BAD] Naming patterns should be used consistently and with sense.,B,GEN,,,,,,,,,
32,Do not throw everything in an activity,G,GEN,,x,,,,,,,
33,Use Dagger,G,GEN,,,,,,,,,
34,"Use a separate model for the network, then create a model internal to the app",G,GEN,,,,,,,,,
37,"Manage the low level networkign with an adhoc model, the service then puts the model with the presenter (at a higher level) and at the above level is the view",G,GEN,,,,,,,,,
35,Put most of the logic in the Presenter,G,MVP,,,,,,,,,
36,"Put the Presenter lisening to the tables, and the Presenter then updates the view",G,MVP,,,,,,,,,
38,Do not put logic in the views,B,GEN,,x,x,,,,,,
39,"Do not put logic in the Presenter, as you cannot do unit testing",B,GEN,,,,,,,,,
40,Use Reactive minfdully in order to avoid resource leaks,B,GEN,,,,,,,,,
41,Use a library to manage images,G,GEN,,,,,,,,,
42,Architecture needs to be in line with the project,G,GEN,,,,,,,,,
43,Avoid God Classes by creating a superactivity,B,GEN,,x,,,,,,,
44,Put all logic in presenter,G,GEN,,,,,,,,,
45,Use a tidy folder structure and file layout,G,GEN,,,,,,,,,
46,No more than 1.000 lines per component\class,B,GEN,,,,,,,,,
47,Methods should be kept small,B,GEN,,,,,,,,,
48,Respect separation of concern at method level,G,GEN,,,,,,,,,
49,Do not use too many small activities. The purpose of each activity should be easy to be explained,B,GEN,,x,,,,,,,
50,Background tasks should not run forever,B,GEN,,,,,x,,,,
51,"the application structure consists of a set of monolithic classes. These classes group almost all project code in a few classes, thus this application does not present a wellmodularized architecture.",B,GEN,,,,,,,,,
55,3) We also analysed the package organization of each selected application in order to identify whether the separation into architectural components as reflected in the package structure.,G,GEN,,,,,,,,,
52,"2) we also found some violations to the MVC pattern. Although most of these violations do not represent a clear threat to the evolution of the architecture of the existing applications, they need to be monitored in order to avoid future maintenance difficulties",B,MVC,,,,,,,,,
53,"2.1) ModeltoView violation. The first found scenario was a violation of the independence of the model component, where model classes have direct calls to classes of the View component.",B,MVC,M,,,,,,,,
54,"2.2) ModeltoController violation. Similar to the previous kind of violation, this second case implies the rupture of independence of the model component, since this component is dependent of the controller component.",B,MVC,M,,,,,,,,
56,"3.1) many applications grouped their classes based on the MVC components, creating a separated package for each architectural component (model, view or controller)",G,GEN,,,,,,,,,
57,"3.2) On the other hand, some applications have grouped their classes according to the business concern.",G,GEN,,,,,,,,,
82,Activities and Fragments should only contain logic that handles UI and operating system interactions.,G,GEN,,x,x,,,,,,
58,The gain with the adoption of this pattern [MultipleView Layout] is directly related to the treatment of the variability of multiple screens and indirectly to reuse screens.,,,,,,,,,,,
59,"The Adapter pattern, for example, was commonly used to adapt existing Android classes to create customized views.",,,,,,,,,,,
60,"Permission use within apps is consistent, meaning that any component of an app that has a permission must be declared also at the app level. This constraint is defined for each application group.",G,GEN,,,,,,,,,
61,Explicit intent connectors should reference valid targets.,G,GEN,,,,,,,,,
62,All implicit intents are attached to the global implicit intent bus.,G,GEN,,,,,,,,,
63,Activities and services that are not exported by an app are not connected to other apps.,G,GEN,,,,,,,,,
64,"Parts of code integrated into single Activity cannot be reused, methods can only be copied to another Activity making the redundant code. Any additional View and action complicates the Activity. A modification of one action repeating on several screens requires modification in all related Activities (assuming one Activity per screen). Activity can contain the implementation of very different actions non related to each other, this can make the Activity very complex, unreadable and incomprehensible. Activity is kept in memory while the application is running, thereby a very big Activity affects performance. Finally, the modification in the user interface and application logic can lead to the need of full redevelopment of all Activities.",B,GEN,,x,x,,,,,,
65,The coupling between components should be weak to avoid the modification of other components if one is modified.,G,GEN,,,,,,,,,
66,"Modules should be reusable [17][22]. A mobile phone has a limited memory, therefore the creation of unnecessary objects should be avoided.",G,GEN,,,,,,,,,
67,Objects remaining in the memory should be lightweight [19]. Modification in user interface or in navigation logic should involve the minimum modification of the application.,G,GEN,,,,,,,,,
68,To keep components loosely coupled it is recommended to ensure communication between Controllers and Activity via interfaces.,G,GEN,,,,,,,,,
69,Fragments should rarely have a callback to parent Fragments but if necessary the callback can be implemented with interfaces.,M,GEN,,,,,,,,,
70,Developer should avoid high hierarchy between Fragments within a single Activity as parent Fragment is linked to the child Fragments. Activities make components more independent and simplifies the Fragment management.,G,GEN,,,,,,,,,
71,"Android does not directly support a general reuse model, since Android fragments must have a UI. To reuse common functionality, that does not have its own UI, a reuse model is required that is tailored to activities.",G,GEN,,,,,,,,,
72,"To provide a custom work flow for concrete apps, the SPL [Software Product Line] should support refinements of the intents connecting activities. This means that the SPL should enable the substitution of base activities with specialized activities or calls to external services (e.g., the Android gallery, the camera or other apps).",,,,,,,,,,,
73,"In Android, uservisible settings are statically defined in an XML (eXtensible Markup Language) file which does not provide a visibility flag. Therefore, all apps in the SPL would have the same preference entries. In order to provide variability of preference entries, an Android app SPL should support custom preference entries for each concrete app.",,,,,,,,,,,
74,Many apps share a common domain or business process while each app should be tailored to the needs of a different target group.,,,,,,,,,,,
75,"SPLs usually provide a feature model defining which features are contained in each concrete product. However, product flavors, the static configuration mechanisms offered by Android, do not support modularization of the feature selection and feature configuration.",,,,,,,,,,,
76,architecture based support for variability in SPLs are: V1: Inheritance is used when a feature needs to be implemented differently for a product or a product should extend a type defined in the core assets. V2: Extensions and extension points are used when parts can be extended with additional behavior. Design Patterns [14] are a common way to build extensions points into an SPL [12]. V3: Parametrization is used when parameters can be referenced inside the core asset code and instantiated with a concrete value in the concrete products. A parameter has an initial value which can be adjusted by the concrete products. V4: Configuration is used to connect modules and components to each other. Configuration is the process of assembling a product by selecting and connecting modules and components out of the core assets. V5: Generation is used when a higher level language can be applied to define concrete component properties.,,,,,,,,,,,
77,"Allowed Communication: Let E be a set of all exported components, and c1 and c2 be two arbitrary components in the system. We say that c1 can communicate with c2, if either both components belong to the same app or c2 is an exported component and c1 is granted the permissions enforced by c2: communicate(c1, c2) ≡ (appc1 = appc2) ∨ (c2 ∈ E ∧ enforcedc2 ⊆ grantedc1)",,,,,,,,,,,
78,"Required Permission: Let c1 be a compo nent, and usedc1 be a set of permissions directly used by component c1.",,,,,,,,,,,
79,"Privilege Escalation: Let p be a permis sion, cm be a component that does not hold p, and cv be a component that holds and uses p but does not enforce (check) the components that may be using its services also hold p. In the privilege escalation attack, cm is able to indirectly obtain p by interacting with cv. communicate(cm,cv)∧p ∈ usedcv ∧p ̸∈ grantedcm ∧ p ̸∈ enforcedcv",,,,,,,,,,,
80,"1) Broadcast Receiver is best to be clearly defined as a connector, discouraging developers of including applicationspecific logic within such a module that by design should behave as a gateway to other components, a responsibil ity advocated to assign to connectors in the architecture literature (Mehta et al., 2000). Essentially, the Broadcast Receiver in Android by itself can be a complicated building block, supporting three dif ferent types of broadcast Intents, that incorporating application specific logic into may make it very hard to understand. In fact, the phenomenon, where a component acts also as a connector, is referred to as Connector Envy (Garcia et al., 2009), an architectural decay instance that results in bloated components, reduces efficiency by increasing each affected component’s memory footprint, and renders such components more complex and less maintainable. (Section 6.4)",B,GEN,,,,,,,,,
81,"2) Modelviewcontroller antipattern. Another poor separation of concerns occurs due to Android’s design that breaks the ModelViewController (MVC) architectural pattern (Krasner et al., 1988; Taylor et al., 2009). In that pattern, a View component provides graphical depictions of information; a Model component contains information to be depicted; and a Controller component maintains consistency between the Model and View. In Android, a Content Provider acts as a Model; the responsibilities of the View and Controller are integrated into one component, an Activity (cf. Section 4.1). This violates the singleresponsibility design principle (Gamma et al., 1994), resulting in a poor separation of concerns that breaks the MVC pattern (Sokolova et al., 2013). This design decision results in an architectural antipattern (Brown et al., 1998), which is a recurring set of architectural elements that together negatively affects the architecture of a system, and renders the system more complex and less maintainable. For example, testing the operations of the View and Controller in Android cannot be done separately Discourages development of “bloated” Activity components that suffer from increased memory footprints and de creased efficiency.",B,GEN,,,,,,,,,
83,Drive your UI from a model,G,GEN,,,,,,,,,
85,"Note: If you're already using a library like RxJava or Agera, you can continue using them instead of LiveData. When you use libraries and approaches like these, however, make sure you handle your app's lifecycle properly. In particular, make sure to pause your data streams when the related LifecycleOwner is stopped and to destroy these streams when the related LifecycleOwner is destroyed. You can also add the android.arch.lifecycle:reactivestreams artifact to use LiveData with another reactive streams library, such as RxJava2.",G,GEN,,,,,,,,,
84,"Implementing ViewModel might involve directly calling the Webservice to fetch the data and assign this data to our LiveData object. This design works, but by using it, our app becomes more and more difficult to maintain as it grows. Additionally, the scope of a ViewModel is tied to an Activity or Fragment lifecycle, which means that the data from the Webservice is lost when the associated UI object's lifecycle ends. This behavior creates an undesirable user experience.",B,MVVM,VM,x,x,,,,,,x
86,"The UserRepository class above needs an instance of Webservice to fetch the user's data. It could simply create the instance, but to do that, it also needs to know the dependencies of the Webservice class. Additionally, UserRepository is probably not the only class that needs a Webservice. This situation requires us to duplicate code, as each class that needs a reference to Webservice needs to know how to construct it and its dependencies. If each class creates a new WebService, our app could become very resource heavy. You can use the following design patterns to address this problem: - Dependency injection (DI): Dependency injection allows classes to define their dependencies without constructing them. At runtime, another class is responsible for providing these dependencies. We recommend the Dagger 2 library for implementing dependency injection in Android apps. Dagger 2 automatically constructs objects by walking the dependency tree, and it provides compiletime guarantees on dependencies. - Service locator: The service locator pattern provides a registry where classes can obtain their dependencies instead of constructing them. - It's easier to implement a service registry than use DI, so if you aren't familiar with DI, use the service locator pattern instead. - These patterns allow you to scale your code because they provide clear patterns for managing dependencies without duplicating code or adding complexity. Furthermore, these patterns allow you to quickly switch between test and production datafetching implementations. Our example app uses Dagger 2 to manage the Webservice object's dependencies.",M,GEN,,,,,,,,,
91,"Avoid designating your app's entry points—such as activities, services, and broadcast receivers—as sources of data. Instead, they should only coordinate with other components to retrieve the subset of data that is relevant to that entry point. Each app component is rather shortlived, depending on the user's interaction with their device and the overall current health of the system.",M,GEN,,x,x,x,,,,,
87,"The UserRepository implementation abstracts the call to the Webservice object, but because it relies on only one data source, it's not very flexible. The key problem with the UserRepository implementation is that after it fetches data from our backend, it doesn't store that data anywhere. Therefore, if the user leaves the UserProfileFragment, then returns to it, our app must refetch the data, even if it hasn't changed. This design is suboptimal for the following reasons: - It wastes valuable network bandwidth. - It forces the user to wait for the new query to complete. - To address these shortcomings, we add a new data source to our UserRepository, which caches the User objects in memory",,,,,,,,,,,
88,"By relying on our current implementation in this situation, we need to fetch the data again from the network. This refetching process isn't just a bad user experience; it's also wasteful because it consumes valuable mobile data. You could fix this issue by caching the web requests, but that creates a key new problem: What happens if the same user data shows up from another type of request, such as fetching a list of friends? The app would show inconsistent data, which is confusing at best. The proper way to handle this situation is to use a persistent model. This is where the Room persistence library comes to the rescue.",M,MVVM,M,,,,,,,,x
89,"Using this model, the database serves as the single source of truth, and other parts of the app access it using our UserRepository. Regardless of whether you use a disk cache, we recommend that your repository designate a data source as the single source of truth for the rest of your app.",G,MVVM,M,,,,,,,,x
90,"Test each component. In the separation of concerns section, we mentioned that one key benefit of following this principle is testability. The following list shows how to test each code module from our extended example: - User interface and interactions: Use an Android UI instrumentation test. The best way to create this test is to use the Espresso library. You can create the fragment and provide it a mock UserProfileViewModel. Because the fragment communicates only with the UserProfileViewModel, mocking this one class is sufficient to fully test your app's UI. - Webservice: In these tests, avoid making network calls to your backend. It's important for all tests, especially webbased ones, to be independent from the outside world. - Testing Artifacts: Architecture Components provides a maven artifact to control its background threads. The android.arch.core:coretesting artifact contains the following JUnit rules: - InstantTaskExecutorRule: Use this rule to instantly execute any background operation on the calling thread. - CountingTaskExecutorRule: Use this rule to wait on background operations of Architecture Components. You can also associate this rule with Espresso as an idling resource.- ViewModel: You can test the UserProfileViewModel class using a JUnit test. You only need to mock one class, UserRepository. - UserRepository: You can test the UserRepository using a JUnit test, as well. You need to mock the Webservice and the UserDao. In these tests, verify the following behavior: - The repository makes the correct web service calls. - The repository saves results into the database. - The repository doesn't make unnecessary requests if the data is cached and up to date. - Because both Webservice and UserDao are interfaces, you can mock them or create fake implementations for more complex test cases. - UserDao: Test DAO classes using instrumentation tests. Because these instrumentation tests don't require any UI components, they run quickly. - For each test, create an inmemory database to ensure that the test doesn't have any side effects, such as changing the database files on disk.",,,,,,,,,,,
92,"Create welldefined boundaries of responsibility between various modules of your app. For example, don't spread the code that loads data from the network across multiple classes or packages in your code base. Similarly, don't define multiple unrelated responsibilities—such as data caching and data binding—into the same class.",G,GEN,,,,,,,,,
93,"Expose as little as possible from each module. Don't be tempted to create just that one shortcut that exposes an internal implementation detail from one module. You might gain a bit of time in the short term, but you then incur technical debt many times over as your codebase evolves.",G,GEN,,,,,,,,,
94,"Consider how to make each module testable in isolation. For example, having a welldefined API for fetching data from the network makes it easier to test the module that persists that data in a local database. If, instead, you mix the logic from these two modules in one place, or distribute your networking code across your entire code base, it becomes much more difficult—if not impossible—to test.",G,GEN,,,,,,,,,
95,"Focus on the unique core of your app so it stands out from other apps. Don't reinvent the wheel by writing the same boilerplate code again and again. Instead, focus your time and energy on what makes your app unique, and let the Android Architecture Components and other recommended libraries handle the repetitive boilerplate.",G,GEN,,,,,,,,,
96,"Persist as much relevant and fresh data as possible. That way, users can enjoy your app's functionality even when their device is in offline mode. Remember that not all of your users enjoy constant, highspeed connectivity.",G,GEN,,,,,,,,,
97,"Assign one data source to be the single source of truth. Whenever your app needs to access this piece of data, it should always originate from this single source of truth.",G,GEN,,,,,,,,,
99,It’s recommended to use Dependency Injection (cough….Dagger….cough) or Service Locator pattern to manage dependencies between the components.,G,GEN,,,,,,,,,
98,"Keep Activity and Fragments lean by only maintaining UI related code like click listeners, etc. And the ViewModel provides the data required by the UI controllers like Activity and Fragments, this helps in surviving configuration change. While ViewModel gets the data from Repository which acts as single source of truth for data, that means whenever your app requires data, it always comes from Repository. Now Repository decides if the data is to be fetched from local database using Room or from web service using Retrofit.",,,,,,,,,,,x
101,"Remember, your UI should always reflect based on the data in the database.",G,GEN,,,,,,,,,
100,"Most modern Android apps maintain a synchronization between local database and the web service, this is super useful for users which helps in using the app even if the device is offline. This is something which users have started to nowadays expect in apps. It [the model] states to first fetch the data from local database; if the data doesn’t exist then make the required network call based upon the “should fetch” condition and then save the fetched data into the local database on response.",G,MVVM,M,,,,,,,,
103,"Having DI framework is not a must, you can live without it, but right setup of DI can really make your life easier. There are several libraries which offer ready solutions (e.g. Dagger, Roboguice, Toothpick). You can decide which one will fit best in your project, considering performance and usability. With dependency injection you don’t have to care so much about things like e.g. object creation, passing references, implementing singleton pattern.",G,GEN,,,,,,,,,
102,Interesting potential quote: No architecture is perfect for every usecase and Architecture Guidelines are just recommendations. Hence feel free to use whatever suites your usecase.,,,,,,,,,,,
104,"I think it is a good practice to wrap libraries with a layer of abstraction, this way you can avoid dependencies from particular library implementation inside your business logic. Also if you decide to change a library to a different one, you won’t have to do refactoring in the entire project, just inside a single repository. It is not necessary to use this pattern for everything, only for libraries which you are not confident you will be using in the future.",G,GEN,,,,,,,,,
105,"Separating project into a few modules should give you some profits. You can have abstract layers physically located in different modules, each module has its own build configuration, so you can customize dependencies for each of them. For example UI module doesn’t have to see database or network models, and low level modules don’t have to access libraries for animations, UI binding etc. With Android Gradle Plugin 3.0 or higher, modularization also increases building speed and makes solid fundaments for developing Instant Apps. Keep in mind, that modularization will be easy to achieve and low at cost at the beginning of project development, but when project is mature it will require much more effort.",G,GEN,,,,,,,,,
106,"Feature switching: This is not really something that you must have, but in some cases it can be useful. Feature switching basically allows you to configure set of features/screens which should be enabled in the app, this could be done via local configuration or remotely (e.g Firebase Remote Config). I especially recommend to have remote feature switching if your application contains functionality dependent on external web services. If external API fails, dependent features in your app will stop working as well. In such situation you should disable broken feature ASAP to avoid annoying users. If you have a remote configuration setup you can just disable given feature in remote console, until the API starts working again.",G,GEN,,,,,,,,,
111,Code/package organization is one of the key factors of a good architecture: package structure is the very first thing encountered by a programmer when browsing source code. Everything flows from it. Everything depends on it.,G,GEN,,,,,,,,,
107,"Interesting comment: The question is, should you always follow architecture guidelines or can you sometimes make exceptions if necessary ? The answer is up to you. The main goal of having defined architecture is to have order in the project and consistent way of doing things.",,,,,,,,,,,
108,The view model isolates the view from the model classes and allows the model to evolve independently of the view.,G,MVVM,M,,,,,,,,
109,A comment on MVP (Model View Presenter) from previous example: I found tricky to avoid leaks due to activities and fragments being recreated so I used a poor man solution: retain fragments.,G,MVP,P,x,x,,,,,,
110,"Overall Error/Exception Handling should be taken care at design and not at implementention level, and in my opinion, one of the biggest mistakes we make as developers (lesson learned). That is why it is important to have a framework in place for this purpose.",,,,,,,,,,,
112,"My second tip is to have a core module which will have these main responsitilities: * Handle global dependency injection. * Contain extension functions. * Contain the main framework abstractions. * Initiate in the main application common 3rd party libraries like Analytics, Crash Reporting, etc.",G,GEN,,,,,,,,,
115,Minimize framework (android) dependencies in your project as much as you can.,G,GEN,,,,,,,,,
113,"My third tip is not at codebase level, but it might be helpful to add code ownership if we are working with feature teams, which is a win in growing organizations where many developers are working on the same codebase.",,,,,,,,,,,
114,Make sure threading is not the only reason to introduce it [ RxJava] in your codebase.,,,,,,,,,,,
116,Dagger2 is used to avoid detailcomplicated boilerplate code of connecting architecture elements one to another.,G,GEN,,,,,,,,,
118,"Another important thing is different entities for each layer of application. As dependency inversion principle works in the other way works additional fields decreasing. The purpose of different entities for each layer is to reduce the amount of information inner layer may depend on. E.g., you don’t need api version at your entity in domain and presentation layers of your application, you only need this property in data layers.",G,GEN,,,,,,,,,
117,"Just a few principles(S O L I D) will allow us to decouple data fetching and handling processes of our application, build interchangeable views and keep their interfaces clean and simple, with keeping solid abstraction level from frameworks and data layer implementations.",,,,,,,,,,,
123,By injecting mock implementations of respective dependencies to separated classes can make testing much easier.,G,GEN,,,,,,,,,
119,Presenter does not depend on Android classes hence improves testability.,G,MVP,P,,,,,,,,
120,"Business logic shouldn’t know where the data comes from. Act locally, but sync globally.",G,CLEAN,B,,,,,,,,
121,"It’s all neatly separated by module level, package level and class level. So Single Responsibility Principle and Separation of Concern should be satisfied.",,,,,,,,,,,
122,Business logic doesn’t touch the Android directly anymore and this should result in a decoupled codebase.,G,CLEAN,"B,F",,,,,,,,
134,"Observing changes to data across multiple components of your app can create explicit, rigid dependency paths between the components. This makes testing and debugging, among other things, difficult. To avoid these problems, use LiveData, which is a lifecycle library class for data observation.",B,GEN,,,,,,,,,
124,"No compulsion to use Presenters to handle presentation logic, we could say that Clean architecture is “frontend” agnostic – meaning we can use MVP, MVVM or anything else on top of it.",G,CLEAN,F,,,,,,,,
125,"The Presenter depends on the View interface and not directly on the Activity: in this way, we succeed in decoupling the presenter from the view implementation respecting the D of the SOLID principles. We can replace the concrete view without changing a line of code of the presenter. Furthermore, we can easily unittest presenter by creating a mock view.",G,MVP,"V,P",,,,,,,,
126,"Every layer to have its own model that it works with, so the concrete details, such as views, do not depend on the specific details of the lower layer implementations.",G,CLEAN,,,,,,,,,
127,Instead of using callbacks to communicate between layers we can use the power of RxJava to provide the data upstream and let it handle thread scheduling for us. Each of the inner layers can transform the data in a way the outer layer can understand it.,G,CLEAN,,,,,,,,,
128,Allows changing the implementation of any outer layer without having to make a lot of changes in our codebase and fulfills the Extendability requirement.,,,,,,,,,,,
129,The practise of defining the MVP contract [https://github.com/googlesamples/androidarchitecture/blob/todomvpclean/todoapp/app/src/main/java/com/example/android/architecture/blueprints/todoapp/taskdetail/TaskDetailContract.java] before starting working on a feature indirectly helps android devs in the same squad to efficiently define areas of responsibilities among themselves.,,,,,,,,,,,
130,"Don't create a lifecycle in presenter, otherwise your presenter will be tightly connected with the Android component where most have their own differences. This makes the presenter more dependent and highly rigid to modification.",B,MVP,P,,,,,,,,
131,"Introducing a method in presenter which accepts the view reference requires null checks at many places, so avoid it if you can and instead use constructor.",B,MVP,P,,,,,,,,
132,"Use cache a mechanism like LRUCache to retain the data, keep the presenter stateless, and let it recreate with the creation of an activity or fragment.",G,MVP,P,,,,,,,,
133,Adhere to SOLID principles,,,,,,,,,,,
137,"A common pattern is to implement the actions of the dependent components in the lifecycle methods of activities and fragments. However, once you have multiple components, using this pattern leads to poor code organization and a proliferation of errors, such as possible race conditions. Lifecycleaware components perform actions in response to a change in the lifecycle status of another component. For example, a listener could start and stop itself in response to an activity starting and stopping. This results in code that is better organized, usually shorter, and always easier to maintain.",M,GEN,,x,x,,,,,,
135,"When you pass data through the layers of your app architecture from a Room database to your UI, that data has to be LiveData in all layers: All the data that Room returns to the Repository, and the Repository then passes to the ViewModel, must be LiveData. You can then create an observer in the activity that observes the data in the ViewModel.",,MVVM,,,,,,,,,
136,"Never pass context into ViewModel instances. Do not store Activity, Fragment, or View instances or their Context in the ViewModel. For example, an Activity can be destroyed and created many times during the lifecycle of a ViewModel, such as when the device is rotated. If you store a reference to the Activity in the ViewModel, you end up with references that point to the destroyed Activity. This is a memory leak. If you need the application context, use AndroidViewModel instead of ViewModel.",B,MVVM,,,,,,,,,x
138,"If the app isn't designed with care, it can request data that it doesn't need, which places a performance burden on the device, and on the network. If the data is stored or synchronized with a remote database, this can also slow the app and waste the user's data plan. The paging library addresses issues with existing solutions.",G,GEN,,,,,,,,,
139,Use a single activity for the whole flow,G,GEN,,x,,,,,,,
141,"[A Component] Has a single, well defined responsibility. The most important property of a Component is it should do just one thing. Nearly all Components in our app are currently about 100 –120 lines. When a Component starts getting bigger, we break it into more Components.",G,GEN,,,,,,,,,
140,Components can contain both UI and business logic,,,,,,,,,,,
142,"Components have explicitly defined inputs. A component takes all its inputs via the constructor. Specifying, the necessary inputs in the constructor ensures some compile time safety by guaranteeing that we have all values available before creating the Component. Another advantage of explicit inputs is that during testing we can mock these dependencies easily and test the component in isolation.",G,GEN,,,,,,,,,
144,"No more jumping between callbacks. In this example app, coroutines also completely removed the need of using RxJava. Functions with suspendable points are easier to read and understand than some RxJava operator chains — these chains can quickly become too functional (Having said that, I don’t think that RxJava can be replaced with coroutines in every use case. Observables give us a different kind of expressiveness that can not be mapped one to one to suspendable functions. In particular once constructed observable operator chain allow many events to flow through it, while a suspendable point resumes only once per invocation)",M,GEN,,,,,,,,,
143,"Event Driven Architecture some how... this type of architecture defines the communication between the components in the system / application through Events, where an event (broadcast) is fired by someone, and all who is interested in this event will listen to this event (broadcast) and every one takes action according to there own implementation. [...] one of the well known issues in Event Driven Architecture is ... it can get out of hand so easily. Applications go too big that it will be hard to track who triggered the event (broadcast) that caused the mess, so a similar Architecture came with a solution. [Solution: Message driven architecture:] instead of firing an event to all the application components, we trigger an event for a specific component only, And this event is now called a Message, since it is sent to specific components, and not to all components.",M,CUSTOM,C,,,,,,,,
147,"I started to use interfaces for linking the modules together. That way, they can’t access methods other than the ones declared on the interface. This protects the structure and helps defining a clear responsibility for each module, avoiding developer mistakes like putting the logic in the wrong place.",G,GEN,,,,,,,,,
145,"In MVP, as projects grow, the presenter can become a huge class with a lot of methods, making it hard to maintain and understand. That happens because it is responsible for a lot of stuff: it has to handle UI Events, UI logic, business logic, networking and database queries. That violates the Single Responsibility Principle.",B,MVP,P,,,,,,,,
146,"I started a new Android project and decided to use MVP + Interactor (or VIPE, if you will). That allowed me to move some responsibility from the presenter to the Interactor. Leaving the presenter with UI events handling and preparing the data that comes from the Interactor to be displayed on the View. Then, the Interactor is only responsible for the business logic and fetching data from DBs or APIs.",G,CUSTOM,C,,,,,,,,
150,Activities and Fragments become very large and difficult to maintain,B,GEN,,x,x,,,,,,
148,"View layer had too many responsibilities. [...] This is a very simple example. In a real case scenario the REST API will probably not return the data like the view needs it. Therefore, the Activity will have to somehow transform or filter the data before showing it.",B,MVP,"M,V,P",x,,,,,,,
149,"Another common case is when the loadPosts() method takes a parameter that needs to be fetched from somewhere else, for example an email address provided by the Play Services SDK. It’s likely that the SDK will return the email asynchronously using a callback, meaning that we now have three levels of nested callbacks. If we keep adding complexity, this approach will result into what is known as callback hell.",B,MVP,M,,,,,,,,
151,Too many nested callbacks means the code is ugly and difficult to understand so painful to make changes or add new features.,B,GEN,,,,,,,,,
152,"Unit testing becomes challenging, if not impossible, because a lot of the logic lives within the Activities or Fragments that are arduous to unit test.",B,GEN,,x,x,,,,,,
