ID,Title,Authors,Venue,Venue Type,Year,Source (query/snowballing),Read Title?,Read Abstract?,Read Whole?,Inclusion Criterion 1,Inclusion Criterion 2,Exclusion Criterion 1,Exclusion Criterion 2,Exclusion Criterion 3,Exclusion Criterion 4,Exclusion Criterion 5,Exclusion Criterion 6,Exclusion Criterion 7,Snowballing applied?,Notes
94,Design and Implementation of an Android Mobile-Learning System Based on Mixed Architecture,"Zhi-yuan, ZHANG",,journalArticle,2013,Q,o,,,,,,,,,,x,,,Not available
95,Android Benchmarking for Architectural Research,"Jenkins, Ira Ray",,journalArticle,2012,Q,o,,,,,,,,x,,,,,Not peer-reviewed
96,Research on Android system architecture and application development,"Jing, Zhao",,journalArticle,2017,Q,o,,,,,,,,,,x,,,Not available
97,Architecture and Prototypical Realization of NFC-based Indoor Positioning with Android and Google Maps,"Fabini, Joachim; Russ, Reinhard; Wallentin, Lukas",,journalArticle,,Q,o,,,,x,,,,,,,,,Not focused on software architecture
98,An Aggregate Functional Software Architecture on Android for End-2-End Real-Time Interactive Content Management to Cater IPTV Services on Digital Handheld Devices,"Patel, Keyurkumar J; Anand, S Vijay",IEEE,conferencePaper,2010,Q,o,o,,x,x,,,,,,,,,
99,Identifying Architectural Technical Debt in Android Applications through Automated Compliance Checking,"Verdecchia, Roberto",,journalArticle,2018,Q,o,o,,x,x,,,,,,,,,
100,A High Q&S RTSP Server’s Architecture and Implementation Based On Android,"Zhang, Yang; Hong, Zhiguo; Lv, Ning",Atlantis Press,conferencePaper,2014,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
101,Technical Comparison Between Android And IOS With Respect to Their Architecture,"Ahmed, B; Awais, M",,journalArticle,2012,Q,o,,,,,,,,,,x,,,Not available
102,"The third Geological Team of Guangdong Geological Bureau; School of Architectural and Surverying&Mapping Engineering, Jiangxi University of Science and Technology;; Realization of the field data collection and navigation system for internship based on ArcGIS for Android","ZHANG, Hai-rui; Xue-rao, WU; Xiao-ji, LAN",,journalArticle,2015,Q,o,,,,,,,,,,x,,,Not available
103,Comparison of Android OS and Minix internal architecture,"Motlhabi, Michael B",,book,,Q,o,o,,,,,x,,,,,,,It's a book
104,Android Architecture and Binder,"Pandiyan, Dhinakaran; Paranjape, Saketh",,book,2010,Q,o,o,,,,,x,,,,,,,It's a book
105,INSTALLING THE ANDROID* SDK FOR IN℡® ARCHITECTURE.,"Cohen, Ryan",,journalArticle,2014,Q,o,,,,,,,,,,x,,,Not available
106,Android Application Development Processes and Tool Chains for Intel® Architecture,"Cohen, Ryan; Wang, Tao",Springer,bookSection,2014,Q,o,o,,,,,x,,,,,,,It's a book
107,An Architecture for Trusted Computing for Android Operating Systems,"Liu, Weiran; Liu, Jianwei",,journalArticle,2013,Q,o,,,,,,,,,,x,,,Not available
108,Design of Information Interaction System Based on Android and JAVA EE architecture,"Liu, Hongxia",,conferencePaper,2015,Q,o,o,,x,,,,,,,,,,Not focused on Android
109,Android Architecture For Beginners,"Romanovsky, Leon",,journalArticle,2013,Q,o,o,,,,,x,,,,,,,Slides/Tutorial
110,Identifying Architectural Technical Debt in Android Applications through Compliance Checking,"Verdecchia, Roberto",,journalArticle,2018,Q,o,,,,,,,,,x,,,,Duplication of ID:99
111,"Platform Architecture Portfolio: Comparisn of 3 Platforms (Android, iOS, mobile Ubuntu).","Häring, Marlo",,conferencePaper,2013,Q,o,,,x,,,,,,,,,,Not focused on Android
112,Data driven architecture based automated test generation for Android mobile,"Anbunathan, R; Basu, Anirban",IEEE,conferencePaper,2015,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
113,Proposed Architecture and the Development of Nfcafe: an Nfc-based Android Mobile Applications for Trading Transaction System in Cafetaria,"Nadra, Fikrul Arif; Kurniawan, Heri; Hilman, Muhammad Hafizhuddin",,journalArticle,2013,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
114,Implementation of Mobile-Cloudlet-Cloud Architecture for Face Recognition in Cloud Computing using Android Mobile,"Bhatnagar, Priya; others",,journalArticle,2013,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
115,Security Deficiencies in the architecture and overview of Android and iOS mobile operating systems,"Jasek, Roman",Academic Conferences Limited,conferencePaper,2015,Q,o,,,x,,,,,,,,,,Not focused on Android
116,"A tablet-controlled, mesh-network security system: An architecture for a secure, mesh network of security and automation systems using arduino and zigbee controllers and an android tablet application","Lartigue, Jonathan W; McKinney, Christohper; Phelps, Richard; Rhodes, Richard; Rice, Andrew D; Ryder, Alexander",ACM,conferencePaper,2014,Q,o,o,,x,,,,,,,,,,Not focused on Android
117,Multi-architecture profiler for Android,"Sartor, Anderson Luiz; Beck, Antonio Carlos Schneider",,journalArticle,2017,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
118,Introduction to Android application architecture,"MacLean, Dave; Komatineni, Satya; Allen, Grant",Springer,bookSection,2015,Q,o,,,,,,x,,,,,,,It's a book
119,CREATING A MOBILE APPLICATION ON ANDROID PLATFORM FOR AN E-LEARNING SYSTEM OF RESOURCE MANAGEMENT FOR A HISTORIC SITE WITH ARCHAEOLOGICAL AND ARCHITECTURAL COMPONENTS.,"Rădescu, Radu; Pavel, Victor",,journalArticle,2016,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
120,Comparison of learning software architecture by developing social applications versus games on the android platform,"Wu, Bian; Wang, Alf Inge",,journalArticle,2012,Q,o,o,,x,x,,,,,,,,,
121,A System Architecture for Industrial Application based on the Android Mobile OS,"Sbaa, A; El Bejjet, R; Medromi, H",,journalArticle,2011,Q,o,,,,,,,,,,x,,,Not available
122,A Hybrid Software Architecture for Rich Media Applications on Android Phones,"Watanabe, Koji; Yamakami, Toshihiko; Ishiguro, Kunihiro",IEEE,conferencePaper,2011,Q,o,o,,x,x,,,,,,,,,
123,A new humanoid architecture for social interaction between human and a robot expressing human-like emotions using an android mobile device as interface,"Chella, Antonio; Sorbello, Rosario; Pilato, Giovanni; Vassallo, Giorgio; Giardina, Marcello",Springer,bookSection,2013,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
124,Java with Android updates: Android architecture,"Mahanti, S","Blogspot, http://java4freshers. blogspot. com/2012/02/android-architecture. html, accessed December",book,2012,Q,o,,,,,,,,,,x,,,Not available
125,Android system architecture,"KEBOMIX, BLOG","Kebomix Blog, http://kebomix. wordpress. com/2010/08/17/android-system-architecture/, accessed September",book,2014,Q,o,,,,,,,,,,x,,,Not available
126,A detailed view of the first android client application for the ilab shared architecture,"Deaky, Bogdan-Alexandru; Zutin, Danilo Garbi; Bailey, Philip H",IEEE,conferencePaper,2012,Q,o,o,,,,,,,,,,,,Not focused on Android or software architecture; Presents their own app
127,Cross-platform development for Sailfish OS and Android: Architectural patterns and “dictionary trainer” application case study,"Laure, Denis; Vasilyev, Andrey; Paramonov, Ilya; Kasatkina, Natalia",IEEE,conferencePaper,2016,Q,o,o,,x,,,,,,,,,,Not focused on only Android
128,OpenKeychain: An Architecture for Cryptography with Smart Cards and NFC Rings on Android,"Schürmann, Dominik; Dechand, Sergej; Wolf, Lars",,journalArticle,2017,Q,o,,,,x,,,,,,,,,Not focused on software architecture
129,Android File System Structure/Architecture/Layout Details. 2013,"Ranjan, Smruti",,journalArticle,,Q,o,,,,,,,,,,x,,,Not available
130,Android Architecture Patterns Part 1: Model-View-Controller,"Muntenescu, Florina",Medium,book,,Q,o,,,,,,,,,,x,,,Not available
131,Android architecture,"Hari, N; Prasad, B",,book,,Q,o,,,,,,,,,,x,,,Not available
132,Android Architecture For System Application Software Stack,"Al Salool, Anas",,book,2012,Q,o,,,,,,,,,,x,,,Not available
133,Android architecture: message-based MVC,"Memruk, I","Website (accessed April 26, 2014)",book,2010,Q,o,,,,,,,,,,x,,,Not available
134,Analysis of the Android Architecture-KIT,"Brahler, Stefan",,journalArticle,2010,Q,o,,,,,,,,,x,,,,Duplication of ID:1
135,Deciphering phone and embedded security-Part 1: Fundamentals of the Android architecture and terminologies,"Arora, M",,book,,Q,o,,,,,,,,,,x,,,Not available
136,Android system architecture and security mechanisms [J],"Hui, Zeng",,journalArticle,2012,Q,o,,,,,,,,,,x,,,Not available
137,"Mobile Devices-An Introduction to the Android Operating Environment Design, Architecture, and Performance Implications., DHTechnologies (2011)","Heger, DA",,book,,Q,o,o,,,,,x,,,,,,,It's a book
138,Speeding up the android* emulator on intel® architecture,"Stylianou, C",,book,2013,Q,o,,,,,,,,,,x,,,Not available
139,A new cooperative architecture for sharing services managed by secure elements controlled by android phones with IP objects,"Pascal, U; Christophe, K",,conferencePaper,2012,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
140,Optimization for Android graphics system based on domestic Unicore architecture [J],"Ming, Ling; Jianping, Wu; Qi, Liu; Xiaodong, Yang; Yang, Zhang",,journalArticle,2012,Q,o,,,,,,,x,,,,,,Not in English; Duplication of ID:13
141,Web service clients on mobile android devices: A study on architectural alternatives and client performance,"Knutsen, Johannes",Institutt for datateknikk og informasjonsvitenskap,thesis,2009,Q,o,,,,,,,,x,,,,,Not peer-reviewed
142,A Multithreaded Architecture on Android to Efficiently Cater Integral Projections based Face Tracking Algorithm to Handheld Devices,"Kumar, Suman; Anand, Vijay",ICEMC2,book,2011,Q,o,o,,x,x,,,,,,,,,
143,Android on X86: An Introduction to Optimizing for Intel Architecture,"Krajci, Iggy; Cummings, Darren",Apress,book,2014,Q,o,o,,,,,x,,,,,,,It's a book
144,A robust software product line architecture for data collection in android platform,"Waku, Gustavo M; Bollis, Edson R; Rubira, Cecilia MF; Torres, Ricardo da S",IEEE,conferencePaper,2015,Q,o,o,,x,x,,,,,,,,,
145,Architecture of a mobile app recommender system for people with special needs,"Torres-Carazo, María Isabel; Rodríguez-Fórtiz, María José; Hurtado, María Visitación; Samos, José; Espín, Vanesa",Springer,conferencePaper,2014,Q,o,,,,,,,,,,x,,,Not available
146,Towards High Quality Mobile Applications: Android Passive MVC Architecture,"Sokolova, Karina; Lemercier, Marc; Garcia, Ludovic; Saint Luc, La Chapelle",,journalArticle,2014,Q,o,o,,x,x,,,,,,,,YES,
147,An architecture style for Android security analysis: poster,"Schmerl, Bradley; Gennari, Jeffrey; Garlan, David",ACM,conferencePaper,2015,Q,o,o,,,,,x,,,,,,,Poster
148,"Cloud-based mobile app testing framework: architecture, implementation and execution","Rojas, Isabel K Villanes; Meireles, Silvia; Dias-Neto, Arilo Claudio",ACM,conferencePaper,2016,Q,o,o,,,,,,,,x,,,YES,Not focused on Android or software architecture: Duplication of ID:39
149,Towards architectural styles for Android app software product lines,"Dürschmid, Tobias; Trapp, Matthias; Döllner, Jürgen",IEEE Press,conferencePaper,2017,Q,o,o,,x,x,,,,,,,,,
150,Architecture design of the farm produce traceability system based on the Android intelligent terminal,"WU, Er-wei; GAO, Lu-tao; YANG, Lin-nan; LI, Wen-feng; LIN, Er-sheng",,journalArticle,2011,Q,o,,,,,,,,,,x,,,Not available
151,Architecture modeling and analysis of security in android systems,"Schmerl, Bradley; Gennari, Jeff; Sadeghi, Alireza; Bagheri, Hamid; Malek, Sam; Cámara, Javier; Garlan, David",Springer,conferencePaper,2016,Q,o,o,,x,x,,,,,,,,,
152,An Android-based mobile 6LoWPAN network architecture for pervasive healthcare,"Kevin, I; Wang, Kai; Dubey, Shivank; Rajamohan, Ashwin; Salcic, Zoran",IEEE,conferencePaper,2015,Q,o,o,,x,,,,,,,,,,Not focused on Android; Presents their own app
153,An architecture for telenoid robot as empathic conversational android companion for elderly people,"Sorbello, Rosario; Chella, Antonio; Giardina, Marcello; Nishio, Shuichi; Ishiguro, Hiroshi",Springer,bookSection,2016,Q,o,,,,,,,,,,,,,Not focused on Android or software architecture
154,Android passive mvc: a novel architecture model for android application development. 2013,"SOKOLOVA, K; LEMERCIER, M; GARCIA, L",,book,,Q,o,o,,,,,,,,x,,,,Duplication of ID:146
155,Implementation of MVC(Model-View-Controller) Architectural to Academic Management Information System with Android Platform Base,"Pravina, P; Ni, L; Oka, K",,journalArticle,2012,Q,o,,,,,,,,,,x,,,Not available
156,Analysis of the Android Architecture,"Bellosa, Frank; Brahler, Stefan",,journalArticle,2010,Q,o,,,,,,,,,x,,,,Duplication of ID:1
157,Analysis report on Android Application Framework and existing Security Architecture,"Khan, S; Banuri, SHK; Nauman, M; Khan, S; Alam, M","Technical report, Security Engineering Research Group, Pakistan",report,2010,Q,o,,,,,,,,,,x,,,Not available
158,"A Comparison of Android Native App Architecture–MVC, MVP and MVVM","Lou, Tian; others","Thesis, Aalto University, Helsinki, Finland",thesis,2016,Q,o,,,,,,,,x,,,,,Not peer-reviewed
159,Patulous Code Reuse Attack: A novel code reuse attack on ARM architecture (A proof of concept on Android OS),"Aminmansour, Farzane; Shahriari, Hamid Reza",IEEE,conferencePaper,2015,Q,o,,,x,,,,,,,,,,Not focused on Android
160,Porting Android To Mips Architecture,"Hoang, Van Hien",,thesis,2011,Q,o,,,,,,,,x,,,,,Not peer-reviewed
161,Security and system architecture: Comparison of Android customizations,"Gallo, Roberto; Hongo, Patricia; Dahab, Ricardo; Navarro, Luiz C; Kawakami, Henrique; Galvão, Kaio; Junqueira, Glauber; Ribeiro, Luander",ACM,conferencePaper,2015,Q,o,o,o,x,,,,,,,,,,Considers a mix of Android arcthiectecure and Android OS
162,TV-centric gaming applications for Android OS: architecture and a framework,"Bjelica, Milan Z; Zdravkovic, Vladan; Punt, Marija; Teslic, Nikola",IEEE,conferencePaper,2013,Q,o,,,,,,,,,,,,,Not focused on Android; Presents their own app
163,An android malware detection architecture based on ensemble learning,"Ozdemir, Mehmet; Sogukpinar, Ibrahim",,journalArticle,2014,Q,o,,,,,,,,,,x,,,Not available
164,A novel scalable architecture on Android to cater end-2-end IMS services to audio video terminals,"Suman Kumar, SP; Anand, Vijay",,journalArticle,,Q,o,o,,,,,,,,x,,,,Duplication of ID:90
165,"Developing Mobile Game Graphics for Intel® Architecture-Based Android* Tablets, Part 1","Montgomery, CD",,book,,Q,o,,,,,,,,,,x,,,Not available
166,Determination and enforcement of least-privilege architecture in android,"Hammad, M; Bagheri, H; Malek, S",,journalArticle,,Q,o,o,,x,x,,,,,,,,,
167,Security issues in the Android cross-layer architecture,"Armando, Alessandro; Merlo, Alessio; Verderame, Luca",,journalArticle,2012,Q,o,o,,x,,,,,,,,,,Considers a mix of Android arcthiectecure and Android OS
168,A new cooperative architecture for sharing services managed by secure elements controlled by android phones with IP objects,"Urien, Pascal; Kiennert, Christophe",IEEE,conferencePaper,2012,Q,o,o,,,,,,,,,,,,Duplication of ID:139
169,Monitoring android for collaborative anomaly detection: A first architectural draft,"Schmidt, Aubrey-Derrick; Bye, Rainer; Schmidt, Hans-Gunther; Yksel, KA; Kiraz, Osman; Clausen, Jan; Raddatz, Karsten; Camtepe, Ahmet; Albayrak, Sahin",,journalArticle,2008,Q,o,o,,x,,,,,,,,,,Not focused on Android; Presents their own app
170,The android architecture,"Developers, Android","Android Developers, http://developer. android. com/, accessed March",book,2011,Q,o,,,,,,x,,,,,,,Tutorial/Book
171,Why Data needs more Attention in Architecture Design-Experiences from prototyping a large-scale mobile app ecosystem,"Naab, Matthias; Braun, Susanne; Lenhart, Torsten; Hess, Steffen; Eitel, Andreas; Magin, Dominik; Carbon, Ralf; Kiefer, Felix",IEEE,conferencePaper,2015,Q,o,o,,x,,,,,,,,,,Not focused on Android
172,Android Architecture (2011),"Developers, Android",,book,,Q,o,,,,,,x,,,,,,,Tutorial/Book; Duplication of ID:170
173,Towards Android clients for iLab Shared Architecture interactive laboratories,"Deaky, Bogdan-Alexandru; Bailey, Philip H",IEEE,conferencePaper,2012,Q,o,,,,,,,,,x,,,,Duplication of ID:126
174,A Novel Scalable Architecture for Efficient QoS to Cater IMS Services for Handheld Devices Based on Android,"Patel, Keyurkumar J; Anand, S Vijay",IEEE,conferencePaper,2010,Q,o,,,x,,,,,,,,,,Not focused on Android
175,Analysis of the Android Architecture. 2010,"Brahler, Stefan",,journalArticle,2013,Q,o,,,x,x,,,,,x,,,,Duplication of ID:1
176,An android tablet tool for enterprise architecture modeling in small and medium-sized enterprises,"Bernaert, Maxime; Maes, Joeri; Poels, Geert",Springer,conferencePaper,2013,Q,o,o,,x,,,,,,,,,,Not focused on Android
177,Architecture Sought After by Android,"Ito, Toyo",,journalArticle,1988,Q,o,,,,,,,,,,,,,Not available
178,Android Architecture,"Gunasekera, Sheran",Springer,bookSection,2012,Q,o,,,,,,x,,,,,,,It's a book
179,Android-Architecture,"Point, Tutorials",,journalArticle,2015,Q,o,,,,,,,,,,x,,,Not available
180,Android architecture,"John, SP",vol,book,2015,Q,o,,,,,,,,,,x,,,Not available
181,Analysis of the android architecture,"Brahler, Stefan",,journalArticle,2010,Q,o,,,,,,,,,x,,,,Duplication of ID:1
182,Research on architecture of multimedia and its design based on android,"Song, Maoqiang; Xiong, Wenkuo; Fu, Xiangling",IEEE,conferencePaper,2010,Q,o,,,,,,,,,,,,,Not focused on Android or software architecture
183,DELDroid: Determination and enforcement of least-privilege architecture in android,"Hammad, Mahmoud; Bagheri, Hamid; Malek, Sam",IEEE,conferencePaper,2017,Q,o,,,,,,,,,x,,,,Duplication of ID:166
184,Faust2android: a Faust architecture for Android,"Michon, Romain",,conferencePaper,2013,Q,o,o,,x,,,,,,,,,,Not focused on Android
185,Reference architecture for Android applications to support the detection of manipulated evidence,"Pieterse, H; Olivier, Martin S; Van Heerden, RP",,journalArticle,2016,Q,o,,,,,,,,,,x,,,Not available
186,An OSGi-based Service Oriented Architecture for Android Software Development Platforms,"Adjaz, Aghiles; Bouzefrane, Samia; Huang, Dijiang; Paradinas, Pierre",,conferencePaper,2011,Q,o,o,,x,x,,,,,,,,,
187,Android architecture: attacking the weak points,"Mansfield-Devine, Steve",,journalArticle,2012,Q,o,o,,,x,,,,,,,,,Not focused on software architecture
188,A cloud-based architecture to crowdsource mobile app privacy leaks,"Papamartzivanos, Dimitrios; Damopoulos, Dimitrios; Kambourakis, Georgios",ACM,conferencePaper,2014,Q,o,,,,,,,,,x,,,,Duplication of ID:78
189,Vnc architecture based remote desktop access through android mobile phones,"Jadhav, Archana; Oswal, Vipul; Madane, Sagar; Zope, Harshal; Hatmode, Vishal",,journalArticle,2012,Q,o,o,,x,,,,,,,,,,Not focused on Android
190,Network traffic analysis using android on a hybrid computing architecture,"Barbareschi, Mario; Mazzeo, Antonino; Vespoli, Antonino",Springer,conferencePaper,2013,Q,o,,,,,,x,,,,,,,It's a book
191,The Study of Android System Architecture and its Drivers [J],"Wei, HU",,journalArticle,2010,Q,o,,,,,,,,,,x,,,Not available
192,Android passive MVC: a novel architecture model for the android application development,"Sokolova, Karina; Lemercier, Marc; Garcia, Ludovic",,conferencePaper,2013,Q,o,o,,x,x,,,,,x,,,,Duplication of ID:146
193,An Android-based automotive middleware architecture for plug-and-play of applications,"Yoo, Jong-Woon; Lee, Youngwoo; Kim, Daesun; Park, Kyoungsoo",IEEE,conferencePaper,2012,Q,o,,,x,,,,,,,,,,Not focused on Android
194,Android Architecture.[online] 2013,"Guide, Android Developers",,journalArticle,,Q,o,,,,,,x,,,,,,,Tutorial/Book
195,"Mobile Devices-An Introduction to the Android Operating Environment Design, Architecture, and Performance Implications","Heger, Dominique A",,journalArticle,2012,Q,o,,,,,,,,,x,,,,Duplication of ID:137
196,Study of Android Architecture and Its Application Development,"Yao, Yumin; Liu, Weiguo",,journalArticle,2008,Q,o,,,,,,,,,,x,,,Not available
